filename,prompt,width,height,file_size,created_time,created_timestamp
gemini_generated_20250831_122320_58f291d6.png,서울 경복궁에서 한복을 예쁘게 입고 셀피를 찍는 20대 남여 커플,1024,1024,1554896,2025-08-31 12:23:20,1756610600.0757396
gemini_generated_20250831_122452_53c4aa79.png,A crystal cave with bioluminescent creatures,1024,1024,1735763,2025-08-31 12:24:52,1756610692.6950183
